address,experience1,experience2,experience3,experience4,category,city,description,displayTitle,email,image1,image2,image3,image4,name,phone,subTitle,website,zipcode
226 W Whitewater Street,,,,,Coffee,Whitewater,"The Sweet Spot is a coffee shop and bakery with two locations in Whitewater, WI. We think that life is worth celebrating and we’re here to help- whether that’s with a wedding cake, the best chocolate chip cookie you’ve ever had, or your favorite coffee on a Monday morning.",,elena@sweetspotwhitewater.com,,,,,The Sweet Spot Cafe,2624735080,,https://www.sweetspotwhitewater.com/,53190
5810 US-45,,,,,Supper Club,Land O' Lakes,The Twilight Supper Club in Land O’Lakes has been in business since 2015. It formerly was operating as the Tia Juana Supper Club since 1940.Twilight serves traditional Supper Club fare along with our award winning Old Fashioneds in our  charming Northwoods atmosphere.,,marymcd906@gmail.com,,,,,The Twilight Supper Club,715-547-8500,,www.twilightsupperclub.com,54540
3410 County HHH,,,,,Supper Club,Cuba City,"The Village Bar is known for our Award Winning Prime Rib. In our area we have a contest for the Best of the Best! We’ve won Best Prime Rib 12 years in a row. We serve steaks seafood, and sandwiches!",,,,,,,The Village Bar Supper Club,608-568-3004,,cyrusramsey.com,53807
306 Ellis Street,,,,,Supper Club,Kewaunee,A Supper Club offering a new twist on an old tradition. We are always going out of our way to make things fun for customers.,,wildflowersupperclub@gmail.com,,,,,The Wildflower Supper Club,920-388-6076,,,54216
W3295 County Rd Y,,,,,Supper Club,Lomira,"The Wisco is an Old Fashioned Supper Club located in LeRoy, WI. They feature Friday Fish Fry, Saturday night steaks and Prime Rib along with great cocktails.",,wiscohospitality@gmail.com,,,,,The Wisco Supper Club,920-583-4351,,www.thewiscosupperclub.com,53048
69 N Brown Street,,,,,Coffee,Rhinelander,"With a focus on locally sourced organic ingredients, Tilly’s is currently serving bakery items, breakfast, lunch, Ruby Coffee, and Rishi Tea.",,tillysrhinelander@gmail.com,,,,,Tilly's,7154201727,,http://tillys-rhinelander.com/,54501
5151 Timmer Bay Road,,,,,Supper Club,West Bend,"Timmer’s Resort has been providing one-of-a-kind experiences to our guests for nearly 150 years. Our lodge has fireplaces in each dining room and beautiful views of Big Cedar Lake. The resort boasts a delicious Fish Fry Friday, Prime Rib Saturday, and nightly specials such as lobster tails and BBQ Ribs.",,allison@timmersresort.com,,,,,Timmer's Resort,262-338-7710,,timmersresort.com,53095
16021 Co Hwy K,,,,,Supper Club,Hayward,"We’re a charming Supper Club located in Hayward, WI, where we bring the rich tradition of Northwoods dining to life. With a warm ambiance, delightful cuisine, and a touch of nostalgia.",,,,,,,Trailways on 27 Supper Club,715-634-2328,,www.trailwayson27.com,54843
N9661 Parkway Road,,,,,Supper Club,Crivitz,"We are a charming little resort with year-round cabins, a tavern with the most comfortable bar stools in the Northwoods, and a restaurant with Supper Club quality dinners for all to enjoy. Enjoy our old fashioned flights.",,stopcollectinginfo99@gmail.com,,,,,Twin Bridge Resort,715-757-3651,,twinbridgeresort.com,54114
2130 Velp Avenue,,,,,Supper Club,Howard,"Family friendly Supper Club serving all of your favorite Supper Club meals. Every meal comes with soup & salad bar. Open:Tuesday - Sunday 7am to 9pmMondays 7am to 2pm",,,,,,,Twin Brothers Cafe & Supper Club (Green Bay),920-393-4678,,twinbrotherscafeandsupperclub.com,54303
532 Jefferson Street,,,,,Supper Club,Oconto,"Come in and enjoy a juicy steak or a fish fry or one of our daily specials. We have been told that we have one of the best soup & salad bars in Wisconsin!Wednesday-Sunday 7 AM to 9 PMClosed Monday & Tuesday",,,,,,,Twin Brothers Supper Club (Oconto),920-516-7397,,,54153
9915 2 Lakes Road,,,,,Supper Club,Almond,"We are a family owned Supper Club between Bass and Washburn Lakes. Established in 1949, we serve American and Italian dishes along with all of your favorite Supper Club classics.",,,,,,,Two Lakes Supper Club,888-293-0781,,www.hellotwolakes.com,54909
524 S 2nd St First Floor,,,,,Coffee,Milwaukee,"Cappuccino, Macchiato, and Espresso are ITALIAN words. For too long, American coffee culture has ignored this source while delivering an experience & taste that falls short of what the words promise. Our goal is to (re)introduce the American public to an adventure of flavor and culture. Vendetta is an ITALIAN word.",,info@vendettacoffeebar.com,,,,,Vendetta Coffee Bar,,,http://vendettacoffeebar.com/,53204
S74W16825 W Janesville Road,,,,,Coffee,Muskego,"Vintage Grounds is an eclectic gathering place, focused on community. Serving locally roasted, Anodyne Coffee, with full espresso bar, teas, fresh bakery items, made-to-order breakfast & lunch sandwiches, huge salads, and avocado toast.  Cozy vintage seating and nostalgic decor complete the unique space. VG hosts live music most Sunday mornings with local musicians.",,vintagegrounds2019@gmail.com,,,,,Vintage Grounds,4144220556,,http://www.vintagegrounds.com/,53150
340 N Broadway # 110,,,,,"Coffee, Bakery",Green Bay,"Voyageurs is an artisan bakery and coffee bar. Specializing in sourdough bread & pastry. With a unique open-concept bakery design in Green Bay, the space was thoughtfully created to foster connections between people and their food.",,,,,,,Voyageur Bakehouse,9202348060,,http://www.voyageurs.co/,54303
201 W College Avenue,,,,,"Coffee, Bakery",Appleton,Voyageurs is an artisan bakery and coffee bar. Specializing in sourdough bread & pastry. With a friendly Downtown space across from Houdini Plaza.,,,,,,,Voyageur Bakehouse - Appleton,9202383799,,http://www.voyageurs.co/,54911
109 N Broadway,,,,,"Coffee, Bakery",De Pere,Voyageurs newest location. We are an artisan bakery and coffee bar. Specializing in sourdough bread & pastry.,,,,,,,Voyageur Bakehouse - De Pere,,,http://www.voyageurs.co/,54115
3220 Boyce Drive,,,,,Supper Club,Rhinelander,"Newly remodeled Supper Club with a cozy and welcoming atmosphere, friendly service and a culinary trained chef. We specialize in steaks and fresh fish but have a full menu offering something for everyone.",,,,,,,Wally's South 17 Supper Club,715-420-0939,,,54501
4140 County Hwy W,,,,,Supper Club,Crandon,"We are open daily at 3 PM, but we also serve lunch starting at 11 AM Friday through Sunday.  Our menu features classic supper club fare, including Fish Fry, Prime Rib, Broasted Chicken, and an extensive soup and salad bar.",,sanine10@yahoo.com,,,,,Water's Edge Lodge,715-478-1224,,,54520
115 E Walnut Street,,,,,Coffee,River Falls,A fantasy inspired coffee shop located in River Falls WI.,,obarwick@waystonecoffeeco.com,,,,,Waystone Coffee Co.,,,,54022
12898 WI-32,,,,,Supper Club,Mountain,,,weatherwoodsupperclub@gmail.com,,,,,Weatherwood Supper Club,715-276-6329,,,54149
709 N Main Street,,,,,Supper Club,River Falls,"Known for our culinary excellence and great service, our Frank Lloyd Wright-inspired dining room, lounge, and outdoor dining area provide relaxed spaces to enjoy food & drinks.",,kim@limelightsocialmedia.com,,,,,West Wind Supper Club,715-425-8100,,www.thewestwind.com,54022
124 Spring Street,,,,,Coffee,Somerset,"Wheelhouse Coffee is a tiny home coffee shop offering big flavor and locally roasted beans. Whether you walk-up or drive-thru, you’ll always be greeted with a smile and will leave with a delicious, handcrafted drink!",,wheelhousecoffeewi@gmail.com,,,,,Wheelhouse Coffee,7152931043,,https://www.wheelhousecoffeewi.com/,54025
1915 N Richmond St Avenue,,,,,"Coffee, Bakery",Appleton,Whisk & Arrow Sugar Studio is an award-winning boutique bakery. Whisk & Arrow uses high-quality ingredients in our bakery and almost everything is made from scratch in small batches.,,info@whiskandarrow.com ,,,,,Whisk & Arrow,9208153645,,http://whiskandarrow.com/,54914
9038 WI-70,,,,,Supper Club,St Germain,"We welcome you to enjoy the Whitetail Inn with its scenic view of the St. Germain Golf Course. On Sundays, our regular menu is not available because we serve an amazing brunch from 10 AM to 2 PM*Occasionally closed for private events.",,,,,,,Whitetail Inn,715-542-2541,,www.whitetailinnwi.com,54558
819 Schelfhout Ln #108,,,,,Coffee,Kimberly,Wildfire creates quality food and coffee-based drinks. We pride ourselves in attention to detail as well as excellent customer service. Expect an inviting atmosphere with a large drink selection from Coffees to Smoothies and full breakfast & lunch menu. Plus a drive-through.,,cfidlin@wildfirecoffeehouse.com,,,,,Wildfire Coffeehouse,9208584417,,http://wildfirecoffeehouse.com/,54136
4877 Haven Drive,,,,,Supper Club,Hazelhurst,"Willow Haven is a family friendly place and the only establishment right on the Willow Flowage with a dock available. This Supper Club is a great place to get fresh burgers, sandwiches, Fish Frys, Prime Rib and more!",,,,,,,Willow Haven Bar & Grill,715-453-3678,,,54531
4446 Windsor Road,,,,,Coffee,Windsor,"Nestled in a renovated 100-year old bank building, Windsor Breads has become the area’s favorite for muffins, cookies, scones, and dessert bars made from scratch.  Pairing the fresh bakery with a coffee or smoothie makes every visit a wonderful experience. - Open 7 days a week. -",,Windsorbreadsbakery@gmail.com,,,,,Windsor Breads Bakery & Coffee House,6088467446,,https://www.windsorbreads.com/,53598
W8700 County Rd K,,,,,Supper Club,Elcho,A cozy Northwoods Supper Club where friends and family meet!,,dwolff0@gmail.com,,,,,Wolff's River Inn,715-275-3902,,,54428
"N, 11091 19th Avenue",,,,,Supper Club,Necedah,"We are an iconic Wisconsin Supper Club with plenty of seating for small or large groups. We offer a variety of scratch made dishes cooked to order, old fashioneds and drinks made the way you like. Our friendly staff will go above and beyond to make sure your visit is everything and more than you expected. ",,woodbinenecedah@gmail.com,,,,,Woodbine Inn,608-565-2122,,,54646
620 W Pine Street,,,,,Supper Club,Baraboo,"We offer a blend of traditional favorites, fine dining, and homemade specials to ensure that your dining experience is top notch!",,,,,,,Zeman’s Old Highway House,608-448-2447,,zemans-hh.com,53913
